,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
2306,09-Apr-1929,1929.0,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,other,fatal,Yes,,,"Badu Island,Torres Strait,AUSTRALIA",-10.12096135,142.14072910373417
2307,04-Apr-1929,1929.0,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,swimming,fatal,Yes,,,"Badu Island,Torres Strait,AUSTRALIA",-10.12096135,142.14072910373417
2308,04-Mar-1929,1929.0,Unprovoked,AUSTRALIA,South Australia,Ardrossan,sailing,foot bitten,No,,"""a dog shark""","Ardrossan,South Australia,AUSTRALIA",-34.424675,137.915867
2309,04-Mar-1929,1929.0,Unprovoked,AUSTRALIA,South Australia,Ardrossan,sailing,legs bitten,No,,"""a dog shark""","Ardrossan,South Australia,AUSTRALIA",-34.424675,137.915867
2310,18-Feb-1929,1929.0,Unprovoked,AUSTRALIA,New South Wales,Maroubra Bay,surfing,"fatal, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",Yes,15h30,,"Maroubra Bay,New South Wales,AUSTRALIA",-33.9497989,151.2620583
2311,09-Feb-1929,1929.0,Boating,AUSTRALIA,Western Australia,Glenelg,sailing,"no injury, shark pushed canoe from jetty to a point 100 m away",No,,"blue pointer, 12'","Glenelg,Western Australia,AUSTRALIA",-15.7392415,124.7481778
2312,08-Feb-1929,1929.0,Unprovoked,AUSTRALIA,New South Wales,Bondi,swimming,"fatal, right thigh bitten, femoral artery severed",Yes,16h00,galapagos shark,"Bondi,New South Wales,AUSTRALIA",-33.8930556,151.2633333
2313,12-Jan-1929,1929.0,Unprovoked,AUSTRALIA,New South Wales,Bondi,surfing,"fatal, right thigh & hip bitten",Yes,18h10,12' shark,"Bondi,New South Wales,AUSTRALIA",-33.8930556,151.2633333
2314,Ca. 1929,1929.0,Provoked,AUSTRALIA,South Australia,Ardrossan,walking,bitten below the knee,No,,"""a dog shark""","Ardrossan,South Australia,AUSTRALIA",-34.424675,137.915867
2315,1929,1929.0,Unprovoked,AUSTRALIA,New South Wales,"Garden Island, Sydney",other,hand lacerated,No,,,"Garden Island, Sydney,New South Wales,AUSTRALIA",-33.8596624,151.2288783
2316,1929,1929.0,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",diving,"put hand through hatch, shark nearly bit off thumb",No,,,"Cape Canaveral, Brevard County,Florida,USA",28.45077,-80.52662
2317,18-Nov-1928,1928.0,Provoked,USA,New Jersey,"Seabright, Monmouth County",fishing,"fishermen were cut & bruised by netted, harpooned and gaffed  sharks provoked incident",No,,"""blue nose sharks""","Seabright, Monmouth County,New Jersey,USA",40.3652348,-73.9730408
2318,Sep-1928,1928.0,Unprovoked,USA,Texas,Corpus Christi,fishing,knee bitten,No,,,"Corpus Christi,Texas,USA",27.7477253,-97.4014129
2319,Late Jul-1928,1928.0,Provoked,ITALY,Tuscany,Viareggio,sailing,"no injury, shark approached the boat, he hit it with and oar and fell into the sea provoked incident",No,,"species unknown, possibly a white shark","Viareggio,Tuscany,ITALY",43.8672392,10.2506055
2320,Reported 24-Jun-1928,1928.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",swimming,bitten on leg,No,,,"Daytona Beach, Volusia County,Florida,USA",29.2108147,-81.0228331
2321,14-Apr-1928,1928.0,Unprovoked,AUSTRALIA,New South Wales,Bondi,other,tissue of left leg stripped from knee to ankle,No,16h00,,"Bondi,New South Wales,AUSTRALIA",-33.8930556,151.2633333
2322,06-Apr-1928,1928.0,Unprovoked,AUSTRALIA,Queensland,Graceville,other,lacerations to right leg,No,Morning,4' shark,"Graceville,Queensland,AUSTRALIA",-27.520899,152.977918
2323,04-Apr-1928,1928.0,Unprovoked,AUSTRALIA,New South Wales,"Cooks Hill, Newcastle",other,"fatal, right hand severed, large lacerations on thigh",Yes,18h00,,"Cooks Hill, Newcastle,New South Wales,AUSTRALIA",-32.9316667,151.7677778
2324,27-Jan-1928,1928.0,Unprovoked,AUSTRALIA,Torres Strait,Deliverance Island,other,fatal,Yes,,,"Deliverance Island,Torres Strait,AUSTRALIA",-9.51933585,141.5711755798207
2325,03-Nov-1927,1927.0,Sea Disaster,AUSTRALIA,New South Wales,"Bradleys Head, Sydney ",other,40 people perished,Yes,,,"Bradleys Head, Sydney ,New South Wales,AUSTRALIA",-33.8515199,151.2459734
2326,Oct-1927,1927.0,Unprovoked,FIJI,,a river,sailing,leg bitten. he survived,No,,,"a river,nan,FIJI",25.3475436,55.3841315
2327,Reported 09-May 1927,1927.0,Unprovoked,AUSTRALIA,Queensland,Off Cairns,walking,fatal,Yes,,,"Off Cairns,Queensland,AUSTRALIA",-16.8769043,145.7541751
2328,08-Apr-1927,1927.0,Unprovoked,AUSTRALIA,Queensland,Near Thursday Island,diving,leg injured,No,,,"Near Thursday Island,Queensland,AUSTRALIA",-10.5844089,142.2192935
2329,11-Mar-1927,1927.0,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,surfing,"right buttock & thigh bitten, thumb removed",No,15h00,grey nurse shark?,"Mereweather Beach,New South Wales,AUSTRALIA",-32.94839145,151.75666286721324
2330,09-Feb-1927,1927.0,Unprovoked,AUSTRALIA,Queensland,Brisbane River,diving,"no injury, but trouser leg shredded by shark",No,,,"Brisbane River,Queensland,AUSTRALIA",-27.1609698,152.5361974
